,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
186,Lost,"Frank Ocean",841163,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
187,Falling,"Harry Styles",840326,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
188,Perfect,"Ed Sheeran",839364,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
189,Revenge,XXXTENTACION,839256,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
190,"Mon Amour - Remix",zzoilo,838357,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
191,Flowers,"Lauren Spencer-Smith",837520,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
192,"Gangsta's Paradise",Coolio,836164,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
193,"Take Me To Church",Hozier,829566,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
194,"jealousy, jealousy","Olivia Rodrigo",824658,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
195,Freaks,"Surf Curse",823303,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
196,"There's Nothing Holdin' Me Back","Shawn Mendes",821579,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
197,HUMBLE.,"Kendrick Lamar",820515,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
198,"favorite crime","Olivia Rodrigo",819457,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
199,"Money Trees","Kendrick Lamar",816679,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
200,"Leave The Door Open","Bruno Mars",816402,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
