,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
125,Pasoori,"Shae Gill",980013,https://open.spotify.com/track/7lvDsmTRXFE3dK4OjvRiWB
126,"Where Did You Go? (feat. MNEK)","Jax Jones",979088,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
127,Falling,"Harry Styles",978210,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
128,"Count Me Out","Kendrick Lamar",971796,https://open.spotify.com/track/7pj6P5WnxkZsw3XRc8eMe1
129,"One Right Now (with The Weeknd)","Post Malone",970843,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
130,"Do It To It",ACRAZE,965970,https://open.spotify.com/track/20on25jryn53hWghthWWW3
131,"The Real Slim Shady",Eminem,964425,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
132,"Someone You Loved","Lewis Capaldi",959826,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
133,"Don't Start Now","Dua Lipa",959386,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
134,Payphone,"Maroon 5",956377,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
135,París,Morat,953919,https://open.spotify.com/track/3ehHqgYRzmeUi345MfHS2N
136,"Die For You","The Weeknd",948516,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
137,Golden,"Harry Styles",945234,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
138,"When You're Gone","Shawn Mendes",945199,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6
139,"Beautiful Girl",Luciano,944923,https://open.spotify.com/track/2XRn6Qu0Wd1KvOND8JbaTx
140,Pantysito,Alejo,943980,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
141,"Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap,942392,https://open.spotify.com/track/2uky0VCI2EZni0nArOPznM
142,"After Dark",Mr.Kitty,940419,https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn
143,"Counting Stars",OneRepublic,937148,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
