,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
177,"La Nuova Stella Di Broadway","Cesare Cremonini",359559,https://open.spotify.com/track/3qtuOAI0YyfoBM1s7Tvm46
178,"Ogni Volta (feat. Venerus)",Gemitaiz,358534,https://open.spotify.com/track/2ha6eUtopYCY6z19TDZk4A
179,"Piango Sulla Lambo (feat. Rose Villain)",Guè,358530,https://open.spotify.com/track/7u02ZUejB2uhTw1WuFXrlf
180,"In The Dark","Purple Disco Machine",358095,https://open.spotify.com/track/75UUG6x5zQe0gCVOiQpa6X
181,NUNNEOVER,LIBERATO,356545,https://open.spotify.com/track/2zS0OYlDeXF6iNLougbIFL
182,"Where Did You Go? (feat. MNEK)","Jax Jones",356109,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
183,"MILLE – feat. Orietta Berti",Fedez,356028,https://open.spotify.com/track/73bPjp8U4lXPx5NY9IA6BJ
184,"Bad Habits","Ed Sheeran",352192,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
185,"Signore del bosco",Dardust,350222,https://open.spotify.com/track/0stcTp1Ngt9UDvRjRbb4tw
186,Shivers,"Ed Sheeran",348559,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
187,"PETER PARKER (feat. Digital Astro)",Ghali,346917,https://open.spotify.com/track/11oORFasOnblnx6lwLWKz8
188,"BUGIA (feat. Tory Lanez)",Lazza,346647,https://open.spotify.com/track/7hbcRsR3AfOtNfjRrZAChl
189,"Ma Jolie (feat. ANNA)",Medy,345724,https://open.spotify.com/track/7J4FSE9i1mo3ZHtaMy27dy
190,"Senza chiedere permesso","Alex W",345703,https://open.spotify.com/track/0RCygr8doIyK4KuC16Tbew
191,NOTTE,"Simba La Rue",343772,https://open.spotify.com/track/5fqfCtGfqK6VYfNxXGQsT8
192,"L'ultima notte",ARIETE,342231,https://open.spotify.com/track/63mdY4U0KvnbMkUEc7FHN8
193,"THATS WHAT I WANT","Lil Nas X",341961,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
194,"Rompo (feat. Boro Boro)",VillaBanks,340133,https://open.spotify.com/track/4oPh7HAoMR1bLBbxwqKmgn
195,Virale,"Matteo Romano",339957,https://open.spotify.com/track/2UaTiaxdp9uaRb6fMy8qpR
196,"TOPBOY (feat. Noyz Narcos)",Lazza,338151,https://open.spotify.com/track/0FvfjiQZ5vEO4XLGX5Uubk
197,Caribe,VillaBanks,337431,https://open.spotify.com/track/5by3TCFHK3YRQzxpR9PcZ0
198,CRAZY,Ghali,335637,https://open.spotify.com/track/5fq1guy3iVRzIYlrtfbTSS
199,"MOON RAGE (feat. Axell)",Ghali,335575,https://open.spotify.com/track/7EU5riem8yFhT9R3Ni5pc2
200,"Sensazioni Momentanee (feat. Lil Kvneki)",VillaBanks,335359,https://open.spotify.com/track/7B7MnH2GI5A9NfXdVQSmKh
