,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
139,"In My Head","Lil Tjay",434353,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb
140,"low down",venbee,431475,https://open.spotify.com/track/5hwQBJojbljFjxg7t49r03
141,"deja vu","Olivia Rodrigo",429634,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
142,Yellow,Coldplay,428995,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
143,"Alone With You",Arz,426377,https://open.spotify.com/track/0W7brFokN6QtGRNp32RCQP
144,"Need to Know","Doja Cat",424999,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
145,"Fluorescent Adolescent","Arctic Monkeys",424935,https://open.spotify.com/track/7e8utCy2JlSB8dRHKi49xM
146,Softcore,"The Neighbourhood",424701,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
147,"Big Energy (feat. DJ Khaled) - Remix",Latto,424268,https://open.spotify.com/track/4nmD4awtUUCC4AGETpUiuP
148,"She Moves In Her Own Way","The Kooks",423174,https://open.spotify.com/track/5xoUgPXbMNUmoHU0Enwtwq
149,"Counting Stars",OneRepublic,422527,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
150,"Levitating (feat. DaBaby)","Dua Lipa",422352,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
151,"Shut Up and Dance","WALK THE MOON",421666,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
152,"Smells Like Teen Spirit - Remastered",Nirvana,420610,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
153,"Black Magic",Jonasu,419508,https://open.spotify.com/track/7zx1i0jGcFwMBurajgKlO7
154,"Something to Someone","Dermot Kennedy",419479,https://open.spotify.com/track/2eWOo3ooHrVezj2pmapV8X
155,"Bound 2","Kanye West",419222,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
156,"love nwantiti (ah ah ah)",CKay,417514,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
157,Sunroof,"Nicky Youre",417396,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
158,"Coming for You (feat. A1 x J1)",SwitchOTR,417068,https://open.spotify.com/track/1xIqDFx3KdByBnKMlTECcM
159,Run,"Becky Hill",415703,https://open.spotify.com/track/02em5H1JIgXssJzQKN6h4M
160,"We Cry Together","Kendrick Lamar",414728,https://open.spotify.com/track/0RAvy97QRPzO2AfK5Dw6j3
161,"Dark Red","Steve Lacy",414040,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
162,"The Chain - 2004 Remaster","Fleetwood Mac",413010,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
163,Melody,Sigala,412337,https://open.spotify.com/track/6Owc2SuzwO3LW1SAODYK3l
164,"Used To This",Wilkinson,411696,https://open.spotify.com/track/37nGZSaEXsKzOZLINC3VOp
165,"One Kiss (with Dua Lipa)","Calvin Harris",410806,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
166,"Dance Wiv Me - Radio Edit","Dizzee Rascal",409486,https://open.spotify.com/track/6pTg4H8juKV9iSzrcVUbM3
167,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,408387,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
168,"Purple Hearts","Kendrick Lamar",408227,https://open.spotify.com/track/401160izncPtca3CmX3dvM
169,"Save Your Tears","The Weeknd",407499,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
170,"Stay the Night",Sigala,406786,https://open.spotify.com/track/4qtdkdTY1t3RmlmSbWykzR
171,Savior,"Kendrick Lamar",404314,https://open.spotify.com/track/0YeUVm23SAkUruwEx9LWnt
172,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",404213,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
173,"In Da Club","50 Cent",403728,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
174,"Worldwide Steppers","Kendrick Lamar",402966,https://open.spotify.com/track/5p56JT5F9a1z9pwXnqTg7d
175,Teenagers,"My Chemical Romance",402229,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0
176,"Wake Me Up",Avicii,401214,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
177,"Playing With Fire",N-Dubz,400516,https://open.spotify.com/track/3pvOdS9kIz3LL0UoRVsabS
178,"Fair Trade (with Travis Scott)",Drake,400252,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
179,Revenge,XXXTENTACION,400080,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
180,"Still D.R.E.","Dr. Dre",399053,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
181,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",398110,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
182,"In A Minute","Lil Baby",397975,https://open.spotify.com/track/3ihIZrJreMJPjQdNLrEXnP
183,"Don't Stop Me Now - Remastered 2011",Queen,397618,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
184,"Everywhere - 2017 Remaster","Fleetwood Mac",396853,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
185,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",395296,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
186,"Dog Days Are Over","Florence + The Machine",393716,https://open.spotify.com/track/456WNXWhDwYOSf5SpTuqxd
187,"Don't Stop Believin'",Journey,392496,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
188,Classic,MKTO,391002,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
189,Dakota,Stereophonics,390364,https://open.spotify.com/track/3qaSqrrevBrb84xl5JlptU
190,Payphone,"Maroon 5",390074,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
191,"Let Her Go",Passenger,389999,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm
192,"Shape of You","Ed Sheeran",383867,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
193,"Hypnotize - 2014 Remaster","The Notorious B.I.G.",383607,https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j
194,Finesse,Pheelz,382394,https://open.spotify.com/track/4Gasn91fsCefnN8zM5GjA8
195,"Bohemian Rhapsody - Remastered 2011",Queen,381038,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
196,Shotgun,"George Ezra",380265,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
197,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",380120,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
198,"Gangsta's Paradise",Coolio,379536,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
199,"Dua Lipa","Jack Harlow",378669,https://open.spotify.com/track/0LnS7aOdOdI1dNKZqdOLz4
200,"Flowers (Say My Name)",ArrDee,378544,https://open.spotify.com/track/2jjsIpj4OG68TpojNlZcE6
