,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
140,Revenge,XXXTENTACION,1921658,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
141,"Bad Habits","Ed Sheeran",1919945,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
142,"Way 2 Sexy (with Future & Young Thug)",Drake,1914761,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
143,"Something In The Way - Remastered",Nirvana,1914428,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
144,"Pursuit Of Happiness (Nightmare)","Kid Cudi",1909814,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
145,"Lucid Dreams","Juice WRLD",1903194,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
146,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1897719,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
147,HUMBLE.,"Kendrick Lamar",1886033,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
148,"Dreams - 2004 Remaster","Fleetwood Mac",1881020,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
149,"favorite crime","Olivia Rodrigo",1867809,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
150,"IDGAF (with blackbear)",BoyWithUke,1863750,https://open.spotify.com/track/4ZUpTMKPYFTfJqamWFU9Zv
151,"What Happened To Virgil (feat. Gunna)","Lil Durk",1851762,https://open.spotify.com/track/7ohROa13QK43JBRqfCmz4P
152,"Buy Dirt","Jordan Davis",1849277,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
153,Freaks,"Surf Curse",1846922,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
154,"Father Stretch My Hands Pt. 1","Kanye West",1844747,https://open.spotify.com/track/4KW1lqgSr8TKrvBII0Brf8
155,YKWIM?,"Yot Club",1843310,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
156,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1841171,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
157,Sunroof,"Nicky Youre",1839459,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
158,"LOVE YOU BETTER",Future,1838887,https://open.spotify.com/track/4XJRpBOG0bU3Nxnvam3FnC
159,"Ni**as In Paris",JAY-Z,1836205,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
160,"More Than My Hometown","Morgan Wallen",1835743,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
