Id User,Username,Verified,Followers,Following,Tweet Count,Location
1005845204438519808,lifewithlaurel,False,774,1186,10920,Daydreaming about Harry Styles
1006945224919277573,Hi_my_name_is7,False,2410,1976,9280,Polska
1372101844772720643,kiwi28cake,False,1960,571,12880,
1175182127115190273,flywithkathleen,False,292,278,2958,she/her
1318074842,madscross,False,79,152,1156,uk / 26
1371268014662909954,uis1s,False,469,386,14563,"as lonely as the sun444 he,she"
908786287611592704,sonymusicth,False,4748,359,7398,"Bangkok, Thailand"
1234173363112873985,dirtyynikes,False,879,273,9196,Harry’s House🏡🚪🛋
1493217045206700039,ily_1d_13,False,94,124,517,
1197597506584109057,biczsiema,False,501,910,20296,chaty styles 
972683449667497985,t_viluan,False,514,367,9769,Japan
4629100038,mochimochijams,False,26,26,2670,
1281773811805777920,myaaa___yo,False,58,71,480,she/her | infj 
814062980983832576,_chansoohun_,False,67,267,26075,where tf am i?
19158682,matdodd,False,156,665,5124,"Topsham, England"
966421776937910272,HALSEYLINDEMANN,False,366,1983,2876,
4920651651,1_inesH,False,231,64,16388,France
1108440030098411520,realitysighs,False,559,645,4064,19 • blk • uk • multi/personal
2313123979,lilacdecorum,False,304,1349,5243,"qld, aus"
1522204263539445765,Amberhomerr,False,11,110,11,
1250871582307897345,_littlelia_,False,378,499,6183,"San Diego, CA"
4877203294,veroisaclown,False,23,35,414,"London, England"
1372085630574944256,ida_tpwk_,False,59,110,274,Harry’s house  ✿ 15  ✿ she/her
1365715961593139205,BoysLinn,False,84,42,5683,Norway 
1057873256,___Charly789,False,800,1407,40659,"Berlin, Deutschland"
1479818696508211202,aimh_abi,False,240,142,5688,Harry's House
961046539694059522,Anewleaf27,False,585,491,48579,"Auckland, New Zealand"
836694289749061633,harryymyworld,False,3000,4038,22122,arg  🇦🇷
1021109658528907265,liveatsunrise,False,259,260,2590,
1491003134109442049,harryssgrape,False,54,91,165,Harry’s House
3925758915,nyla_dumb,False,510,676,11484,Taylor’s and Dua’s heart
1461346014183362576,kieraaahki,False,17,41,40,"Doncaster, England"
1273795838,scuderossa,False,329,790,11474,🏁🏒🇵🇭🇨🇦🏳️‍🌈
1370882445894115328,ArdesiSilvana,False,34,79,221,
1519442549685035009,paulafer_6,False,25,27,98,"Comunidad Valenciana, España"
188702646,Official_Jamal,True,20364,2194,212660,"Birmingham, England"
1190635207717724161,razemlepiej,False,11,0,170,
1381390052576608335,youtemptress28,False,584,583,6888,24 || she/her
1049346411970658305,hxbit28,False,569,493,11985,
1100471542289494016,wwomannnn,False,27,196,1497,Barcelona
22874816,oohgaryc,False,43497,184,55024,"London, England"
1475669964090716163,GingerAleFIEND8,False,15,52,914,
31076291,rosie6172,False,3381,2927,171902,worldwide
1334107118870405123,JerseyBakerGirl,False,121,127,911,Saint Helier
15521177,abbiealmasco,False,1384,2054,48214,DXB/MNL/JED
